Date,Open,High,Low,Close,Adj Close,Volume
2013-01-01,40.910000,43.340000,40.700001,42.160000,34.244678,770342700
2013-02-01,42.480000,44.709999,40.279999,41.970001,34.098484,537126400
2013-03-01,41.560001,47.919998,41.020000,44.240002,35.942738,706105900
2013-04-01,44.320000,47.680000,41.599998,46.660000,37.908882,627585000
2013-05-01,46.480000,53.560001,45.490002,51.990002,42.239227,626878700
2013-06-01,52.060001,52.619999,45.060001,47.970001,38.981670,728729300
2013-07-01,48.500000,53.299999,46.700001,52.139999,42.370331,570461800
2013-08-01,52.840000,53.200001,47.639999,48.330002,39.274220,470388900
2013-09-01,49.369999,52.880001,47.830002,48.509998,39.428059,469357000
2013-10-01,48.849998,51.570000,47.599998,48.779999,39.647518,548937600
2013-11-01,48.869999,53.680000,48.230000,52.919998,43.021042,427626200
2013-12-01,52.959999,53.410000,50.270000,52.110001,42.362560,402157100
2014-01-01,52.029999,55.279999,47.290001,47.430000,38.557980,674576100
2014-02-01,47.840000,50.150002,46.189999,48.630001,39.541740,506390800
2014-03-01,47.799999,51.000000,46.790001,47.599998,38.704227,663022400
2014-04-01,47.720001,48.619999,45.180000,47.910000,38.956295,525271500
2014-05-01,47.810001,48.349998,46.080002,47.570000,38.679836,316654200
2014-06-01,47.599998,49.590000,46.919998,47.099998,38.305668,342891400
2014-07-01,47.419998,50.590000,46.549999,48.910000,39.777714,386137000
2014-08-01,48.590000,52.389999,47.650002,51.650002,42.014515,290310100
2014-09-01,51.779999,54.130001,51.119999,51.820000,42.152794,340562900
2014-10-01,51.680000,53.900002,48.110001,53.529999,43.543793,503346100
2014-11-01,53.419998,54.520000,52.630001,53.970001,43.910049,224588800
2014-12-01,53.799999,56.950001,51.110001,54.110001,44.023945,394695100
2015-01-01,54.360001,54.689999,46.599998,46.950001,38.198563,498226600
2015-02-01,47.200001,52.869999,46.900002,52.419998,42.658016,342470600
2015-03-01,52.419998,54.720001,50.470001,51.520000,41.925625,462033200
2015-04-01,51.369999,54.459999,50.980000,53.320000,43.390415,348740700
2015-05-01,53.639999,55.369999,52.349998,54.080002,44.008884,294678400
2015-06-01,54.680000,57.639999,54.130001,55.240002,44.995464,386087600
2015-07-01,56.009998,60.950001,52.770000,58.459999,47.618298,453308300
2015-08-01,58.619999,59.250000,47.099998,53.480000,43.598854,403504400
2015-09-01,52.400002,53.000000,48.470001,49.610001,40.443893,407439700
